Rank,Country,2016 EPI Score,10-Year Percent Change,Environmental Health,Ecosystem Vitality,EH - Health Impacts,EH - Air Quality,EH -Water and Sanitation,EV - Water Resources,EV - Agriculture,EV - Forests,EV - Fisheries,EV- Biodiversity and Habitat,EV - Climate and Energy,Environmental Risk Exposure,Household Air Quality,Household Air Quality - Risk Exposure,Air Pollution - Average Exposure to PM2.5,Air Pollution - Average Exposure to PM2.5 - Risk Exposure,Air Pollution - Average PM2.5 Exceedance,Air Pollution - Average Exposure to NO2,Access to Sanitation,Unsafe Sanitation- Risk Exposure,Access to Drinking Water,Unsafe Drinking Water Quality -Risk Exposure,Wastewater Treatment,Nitrogen Use Efficiency,Nitrogen Balance,Tree Cover Loss,Fish Stocks,Terrestrial Protected Areas (National Biome Weights),Terrestrial Protected Areas (Global Biome Weights),Marine Protected Areas,Species Protection (National),Species Protection (Global),Trend in Carbon Intensity,Trend in CO2 Emissions per KwH,Access to Electricity
41,Belgium,80.15,10.43,79.1,81.21,76.74,60.91,99.64,94.99,66.13,32.53,48.93,100,80.59,76.74,95,100,63.38,56.75,45.46,0,98.57,100,100,100,94.99,87.56,1.82,32.53,48.93,100,100,100,100,100,78.45,87.02,100
42,Costa Rica,80.03,15.33,91.15,68.91,91.89,93.94,87.62,56.65,33.85,56.91,53.13,90.52,81.52,91.89,95,87.74,100,88.22,100,82.95,89.08,92,91.99,77.41,56.65,45.14,0,56.91,53.13,94.3,88.27,77.2,96.73,96.11,75.36,100,98.28
43,Argentina,79.84,5.4,94.5,65.18,98.07,92.37,93.05,66.94,97.87,9.225,26.39,69.72,75.94,98.07,95,90.44,100,90.66,99.39,61.43,92.28,89.63,96.27,94.02,66.94,97.16,100,9.225,26.39,65.34,72.06,86.73,64.61,59.87,87.26,42.01,99.14
44,Ukraine,79.69,25.38,85.74,73.63,85.82,84.18,87.22,73.32,98.18,47.08,50.39,65.58,87.45,85.82,95,100,94.82,71.83,80.13,58.99,91.42,77.03,87.08,93.35,73.32,97.57,100,47.08,50.39,57.46,56.95,93.2,60.92,59.4,90.58,78.05,100
45,Cuba,79.04,8.81,91.09,66.98,94.95,95.51,82.8,67.5,73.62,58.72,33.27,78.51,NA,94.95,93.74,91.2,100,91.57,100,90.36,87.9,80.06,84.3,78.94,67.5,64.83,100,58.72,33.27,73.88,75.31,90.73,75.28,77.36,86.5,40.97,100
46,Brazil,78.9,16.94,87.14,70.67,85.21,91.78,84.42,76.23,72.98,37.86,65.4,92.62,56.41,85.21,95,85.37,100,80.46,100,76.58,77.8,86.88,93.29,79.69,76.23,84.7,37.83,37.86,65.4,99.09,98.79,95.27,82.75,87.17,51.6,70.84,98.28
47,Montenegro,78.89,21.07,89.6,68.19,87.95,86.9,93.96,64.6,92.05,82.06,32.43,67.72,64.29,87.95,77.67,100,100,73.22,88.28,77.78,91.42,90.99,98.77,94.68,64.6,89.4,100,82.06,32.43,81.38,88.58,0,78.47,90.18,52.39,100,100
48,Serbia,78.67,14.9,83.35,73.98,83.06,75.13,91.86,63.99,92.05,86.99,NA,61.46,83.34,83.06,82.56,100,81.69,69.7,62.99,61.43,92.28,84.78,96.68,93.68,63.99,89.4,100,86.99,NA,63.17,63.17,NA,58.72,60.8,91.31,59.45,100
49,Israel,78.14,5.21,79.43,76.85,67.8,70.5,100,96.8,46.36,NA,52.81,71.29,82.23,67.8,95,100,81.69,44.36,52.49,65.98,100,100,100,100,96.8,61.81,0,NA,52.81,84.25,71.31,46.78,85.71,68.38,82.59,81.16,100
50,Macedonia,78.02,18.81,84.71,71.33,86.13,76.74,91.28,58.79,92.05,63.08,NA,72.3,77.6,86.13,80.98,100,81.69,62,68.96,73.46,83.95,89.29,97.52,94.35,58.79,89.4,100,63.08,NA,68.21,78.74,NA,64.21,78.03,80.55,68.75,100
51,Panama,78,7,86.15,69.85,86.43,94.21,77.81,72.31,45.35,52.17,39.01,87.93,72.34,86.43,89.12,82.52,100,96.19,100,90.36,71.33,75.86,82.87,81.17,72.31,54.94,16.58,52.17,39.01,94,87.66,83.31,86.01,88.68,63.12,100,90.96
52,Chile,77.67,5.75,93.23,62.11,96.81,88.4,94.47,94.26,41.21,36.58,38.2,75.15,40.29,96.81,93.74,88.13,100,74.92,100,48.79,97.72,88.95,95.84,95.35,94.26,54.94,0,36.58,38.2,74.95,65.76,95.61,68.04,71.4,42.4,33.95,98.71
53,Tunisia,77.28,15.71,81.1,73.46,71.02,91.2,81.08,82.06,87.79,NA,61.8,61.04,73.94,71.02,95,95.29,100,67.12,96.9,85.14,85.49,86.53,91.55,60.75,82.06,83.72,100,NA,61.8,51.36,61.81,79.71,55.9,56.43,77.15,64.32,100
54,Jamaica,77.02,20.02,86.96,67.09,91.28,91.86,77.72,62.12,69.54,55.98,24.84,90.47,NA,91.28,91.15,83.34,100,82.98,100,82.4,76.78,72.64,79.93,81.54,62.12,59.38,100,55.98,24.84,88.27,93.4,78.05,92.95,99.7,95.55,100,91.91
55,Moldova,76.69,9.09,75.3,78.08,78.03,73.12,74.74,72.82,100,87.74,NA,53.23,94.82,78.03,93.1,100,78.42,60.74,53.78,71.52,72.47,64.7,69.12,92.68,72.82,100,100,87.74,NA,54.26,53.7,NA,52.86,52.08,93.1,100,100
56,Venezuela,76.23,5.2,81.21,71.24,68.53,92.88,82.22,70.23,37.4,77.5,14.09,95.73,70.24,68.53,95,96.02,100,78.86,98.15,79.55,88.79,87.92,77.9,74.27,70.23,49.86,0,77.5,14.09,99.39,99.39,89.66,95.85,94.33,68.09,76.67,100
57,Colombia,75.93,14.84,82.2,69.66,78.35,91.04,77.22,71.8,32.87,68.07,29.17,87.99,72.63,78.35,89.81,79.13,100,81.73,99.39,86.21,76.08,85.13,74.21,73.46,71.8,43.83,0,68.07,29.17,92.5,85.81,96.64,81.85,83.17,73.05,71.35,95.16
58,Dominican Republic,75.32,24.74,78.91,71.73,71.71,93.08,71.93,80.76,42.1,31.82,83.48,93.54,NA,71.71,92.46,81.27,100,80.14,100,100,79.15,76.64,63.55,68.37,80.76,53,9.38,31.82,83.48,87.36,96.09,99,92.09,93.15,90.95,NA,96.51
59,Fiji,75.29,23.22,86.6,63.99,84.29,92.06,83.45,57.38,66.91,83.2,64.86,59.23,NA,84.29,75.92,76.48,100,94.64,100,100,84.57,81.17,86.17,81.9,57.38,55.88,100,83.2,64.86,44.64,50.75,81.73,57.34,61.71,NA,100,77.44
60,Taiwan,74.88,26.96,76.62,73.14,73.09,60.98,95.8,65.78,70.37,86.61,52.81,76.61,76.82,73.09,95,70.32,58.97,55.82,48.41,44.39,100,95.02,95.84,92.34,65.78,73.28,61.64,86.61,52.81,79.41,78.4,82.52,61.76,80.96,92.03,31.19,100
61,Albania,74.38,27.1,84.74,64.03,83.99,80.89,89.34,60.16,42.59,53.14,62.64,54.12,91.01,83.99,78.52,100,97.45,68.24,72.62,74.73,87.9,91.67,84.77,93.01,60.16,56.78,0,53.14,62.64,46.81,48.18,80.53,40.78,54.32,88.01,100,100
62,Trinidad and Tobago,74.34,8.51,92.2,56.47,92.81,97.2,86.61,59.48,11.14,NA,43.28,88.51,NA,92.81,95,97.48,100,88.83,100,100,85.18,85.83,84.77,90.65,59.48,14.85,0,NA,43.28,97.89,95.79,53.3,95.56,100,43.46,55.4,99.57
63,Malaysia,74.23,13.05,84.21,64.25,86.74,74.68,91.22,77.16,48.33,0,53.48,90.85,58.95,86.74,95,95.66,76.72,76.91,55.03,65.25,91.71,94.68,93.72,84.78,77.16,64.1,1.03,0,53.48,100,100,75.46,89.49,89.28,59.44,57.47,100
64,Morocco,74.18,24.65,74.28,74.09,65.55,89.57,67.72,60.82,100,NA,71.02,91.1,59.61,65.55,95,89.29,100,59.88,99.39,81.27,73.21,78.18,64.2,55.28,60.82,100,100,NA,71.02,100,100,63.57,97.32,94.63,53.16,78.95,100
65,Uruguay,73.98,12.96,95.48,52.48,98.71,92.03,95.69,47.46,94.38,3.412,46.15,54.32,59.81,98.71,95,93.44,100,96.5,88.98,75.97,92.28,95.35,98.77,96.35,47.46,92.51,100,3.412,46.15,54.82,52.55,69.38,45.81,49.04,46.42,100,98.28
66,Philippines,73.7,16.36,75.14,72.27,63.61,86.79,75.02,51.1,89.61,61.8,51.31,86.16,80.98,63.61,67.08,65.63,100,91.27,97.53,89.34,70.56,81.9,75.82,71.81,51.1,86.15,100,61.8,51.31,90.4,91.9,85.61,79.41,83.49,88.38,58.8,87.99
67,Mexico,73.59,10.69,77.58,69.61,72.4,79.55,80.79,80.32,79.14,54.58,55.26,78.66,54.9,72.4,89.12,80.84,97.45,84.22,70.82,55.54,79.81,78.94,86.63,77.8,80.32,72.18,100,54.58,55.26,82.98,83.93,89.3,69.49,67.59,47.34,77.59,97.84
